anio,conglome,vivienda,hogar,codperso,p207,p207_label,p208a,p301a,p301a_label,p301a1,p301a1_label,p505r4,p505r4_label,txt505,txt505b,p506r4,p506r4_label,txt506,p507,p507_label,p510,p510_label,txt505_clean,txt505b_clean,txt506_clean,texto_final,texto_concatenado,label_id,predicted_label,true_label,confidence
2022,015086,044,11,01,1,hombre,58,4.0,primaria completa,,,6111,agricultores y trabajadores calificados de cultivos extensivos,PRODUCTOR AGRICOLA FORESTAL,COSECHAR AGUAYMANTO CORTAR TRAER LEÑA,0125,cultivo de otras  frutas y nueces que crecen en árboles y arbustos,CULTIVO DE AGUAYMANTO HABA ARVERJA EXPLOTACION FORESTAL,2.0,trabajador independiente,,<NA>,productor agricola forestal,cosechar aguaymanto cortar traer leña,cultivo de aguaymanto haba arveja explotacion forestal,productor agricola forestal cosechar aguaymanto cortar traer leña cultivo de aguaymanto haba arveja explotacion forestal,"productor agricola forestal cosechar aguaymanto cortar traer leña cultivo de aguaymanto haba arveja explotacion forestal , edad: 58 años , educación: primaria completa , desempeño: trabajador independiente",212.0,6112,6111,0.9968442
2021,017627,047,11,02,1,hombre,23,7.0,superior no universitaria incompleta,332125.0,gastronomia y arte culinario,5222,supervisores de comercio al por menor,SUPERVISOR DE VENTAS,CAPACITAR MOTIVAL DAR ESTRATEGIAS A PERSONAL PARA REALIZAR VENTAS REPO,1071,elaboración de productos de panadería,PREPARACION VENTA DE DONAS AL POR MENOR EN CENTRO COMERCIAL,3.0,empleado,6.0,empresa o patrono privado,supervisor de ventas,capacitar motiva dar estrategias a personal para realizar ventas repo,preparación venta de donas al por menor en centro comercial,supervisor de ventas capacitar motiva dar estrategias a personal para realizar ventas repo preparación venta de donas al por menor en centro comercial,"supervisor de ventas capacitar motiva dar estrategias a personal para realizar ventas repo preparación venta de donas al por menor en centro comercial , edad: 23 años , educación: superior no universitaria incompleta , desempeño: empleado",196.0,3124,5222,0.4263764
2024,018338,069,11,04,2,mujer,27,10.0,superior universitaria completa,533026.0,arquitectura,3112,técnicos en ingeniería civil,ASISTENTE DE RESIDENCIA,ENCARGADA DE DOCUMENTACION REVISAR PLANILLAS,4100,construcción de edificios,EMPRESA CONSTRUCTORA  DE EDIFICIOS,3.0,empleado,6.0,empresa o patrono privado,asistente de residencia,encargada de documentacion revisar planillas,empresa constructora de edificios,asistente de residencia encargada de documentacion revisar planillas empresa constructora de edificios,"asistente de residencia encargada de documentacion revisar planillas empresa constructora de edificios , edad: 27 años , educación: superior universitaria completa , desempeño: empleado",90.0,4419,3112,0.7417713
2021,017728,077,11,01,1,hombre,43,6.0,secundaria completa,,,9629,otras ocupaciones elementales,LIMPIADOR DE AUTOMÓVIL,LIMPIAR ASPIRAR AUTOMÓVIL,8129,otras actividades de limpieza en edificios e industrias,SERVICIO DE DOTACIÓN DE PERSONAL DE LIMPIEZA DE VEHÍCULOS DE TRANSPORT,4.0,obrero,5.0,empresas especiales de servicios (service),limpiador de automóvil,limpiar aspirar automóvil,servicio de dotación de personal de limpieza de vehículos de transport,limpiador de automóvil limpiar aspirar automóvil servicio de dotación de personal de limpieza de vehículos de transport,"limpiador de automóvil limpiar aspirar automóvil servicio de dotación de personal de limpieza de vehículos de transport , edad: 43 años , educación: secundaria completa , desempeño: obrero",356.0,9122,9629,0.7657856
2020,019247,077,11,01,1,hombre,54,6.0,secundaria completa,,,7519,"otros trabajadores de la preparación de alimentos, bebidas y productos de tabaco",OPERARIO EN CAMARA,TRASLADAR JABA DE PESCADO A CAMARA,1020,"procesamiento y conservación de pescados , crustáceos y moluscos",CONSERVACION EXPORTACION DE ANGUILA EN LOCAL,4.0,obrero,6.0,empresa o patrono privado,operario en camara,trasladar jaba de pescado a camara,conservacion exportacion de anguila en local,operario en camara trasladar jaba de pescado a camara conservacion exportacion de anguila en local,"operario en camara trasladar jaba de pescado a camara conservacion exportacion de anguila en local , edad: 54 años , educación: secundaria completa , desempeño: obrero",283.0,8343,7519,0.45672527
2022,018223,076,11,02,2,mujer,43,10.0,superior universitaria completa,331036.0,administración de empresas,2421,analistas de gestión y organización,ADMINISTRADORA DEL CENTRO ODONTOLÓGICO,DIRIGIR COORDINAR PAGAR A TRABAJADORES,8620,actividades de médicos y odontólogos,CENTRO ODONTOLÓGICO,5.0,trabajador familiar no remunerado,,<NA>,administradora del centro odontológico,dirigir coordinar pagar a trabajadores,centro odontológico,administradora del centro odontológico dirigir coordinar pagar a trabajadores centro odontológico,"administradora del centro odontológico dirigir coordinar pagar a trabajadores centro odontológico , edad: 43 años , educación: superior universitaria completa , desempeño: trabajador familiar no remunerado",69.0,3314,2421,0.9592452
2022,006058,118,11,01,1,hombre,38,7.0,superior no universitaria incompleta,199015.0,educación basica alternativa,9629,otras ocupaciones elementales,AYUDANTE DE  PREPARADOR VENDEDOR AMBULANTE,OFRECER VENDER COMIDA,5610,restaurantes y servicios móviles de alimentación,PREPARACION Y VENTA DE COMIDA DE LA SELVA,5.0,trabajador familiar no remunerado,,<NA>,ayudante de preparador vendedor ambulante,ofrecer vender comida,preparación y venta de comida de la selva,ayudante de preparador vendedor ambulante ofrecer vender comida preparación y venta de comida de la selva,"ayudante de preparador vendedor ambulante ofrecer vender comida preparación y venta de comida de la selva , edad: 38 años , educación: superior no universitaria incompleta , desempeño: trabajador familiar no remunerado",356.0,9412,9629,0.96914613
2023,020190,053,11,01,1,hombre,24,9.0,superior universitaria incompleta,531016.0,ingeniería civil,3129,"otros supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",SUPERVISOR DE OBRA,SUPERVISAR OBRA,4220,construcción de proyectos de servicios públicos,EMPRESA CONSTRUCTORA DE AGUA Y DESAGUE,3.0,empleado,6.0,empresa o patrono privado,supervisor de obra,supervisar obra,empresa constructora de agua y desague,supervisor de obra supervisar obra empresa constructora de agua y desague,"supervisor de obra supervisar obra empresa constructora de agua y desague , edad: 24 años , educación: superior universitaria incompleta , desempeño: empleado",103.0,3123,3129,0.8968228
2020,019347,006,11,01,1,hombre,35,8.0,superior no universitaria completa,,,7421,reparadores de equipos electrónicos y afines,TÉCNICO EN REFRIGERACIÓN,REPARAR COCINA A GAS REFRIGERADORA,9522,"reparación de aparatos domésticos, equipos para el hogar y jardín",SERVICIO DE REPARACIÓN DE REFRIGERADORA COCINA A GAS LAVADORA EN SU VI,2.0,trabajador independiente,,<NA>,técnico en refrigeración,reparar cocina a gas refrigeradora,servicio de reparación de refrigeradora cocina a gas lavadora en su vi,técnico en refrigeración reparar cocina a gas refrigeradora servicio de reparación de refrigeradora cocina a gas lavadora en su vi,"técnico en refrigeración reparar cocina a gas refrigeradora servicio de reparación de refrigeradora cocina a gas lavadora en su vi , edad: 35 años , educación: superior no universitaria completa , desempeño: trabajador independiente",272.0,3115,7421,0.9165525
2020,007091,143,33,05,2,mujer,26,8.0,superior no universitaria completa,715015.0,fisioterapia y rehabilitacion,5142,especialistas en tratamientos de belleza y afines,MASAJEADORA CORPORAL,MASAJEAR  UNTAR CREMA A CLIENTE,9602,peluquería y otros tratamientos de belleza,SERVICIO DE MASAJE TRATAMIENTO FACIAL DEPILACIÓN EN LOCAL,3.0,empleado,6.0,empresa o patrono privado,masajeadora corporal,masajear untar crema a cliente,servicio de masaje tratamiento facial depilación en local,masajeadora corporal masajear untar crema a cliente servicio de masaje tratamiento facial depilación en local,"masajeadora corporal masajear untar crema a cliente servicio de masaje tratamiento facial depilación en local , edad: 26 años , educación: superior no universitaria completa , desempeño: empleado",191.0,9629,5142,0.65648097
2024,019237,063,11,05,2,mujer,14,5.0,secundaria incompleta,,,5213,vendedores en kiosco fijo y puestos de mercado,AYUDANTE DE VENDEDORA DE CONDIMENTO,AYUDAR A ENVASAR CONDIMENTO,4781,"venta al por menor de alimentos, bebidas y productos del tabaco en puestos de venta y mercados",VENTA DE CONDIMENTO AL POR MAYOR Y MENOR EN PUESTO FIJO DE MERCADO,5.0,trabajador familiar no remunerado,,<NA>,ayudante de vendedora de condimento,ayudar a envasar condimento,venta de condimento al por mayor y menor en puesto fijo de mercado,ayudante de vendedora de condimento ayudar a envasar condimento venta de condimento al por mayor y menor en puesto fijo de mercado,"ayudante de vendedora de condimento ayudar a envasar condimento venta de condimento al por mayor y menor en puesto fijo de mercado , edad: 14 años , educación: secundaria incompleta , desempeño: trabajador familiar no remunerado",194.0,9629,5213,0.57057804
2020,005056,087,11,01,1,hombre,79,3.0,primaria incompleta,,,9629,otras ocupaciones elementales,ZAPATERO,REPARAR CALZADO,9523,reparación de calzado y artículos de cuero,RENOVADORA DE CALZADO,2.0,trabajador independiente,,<NA>,zapatero,reparar calzado,renovadora de calzado,zapatero reparar calzado renovadora de calzado,"zapatero reparar calzado renovadora de calzado , edad: 79 años , educación: primaria incompleta , desempeño: trabajador independiente",356.0,7362,9629,0.9683991
2021,016905,149,11,02,2,mujer,50,8.0,superior no universitaria completa,331025.0,administración,5222,supervisores de comercio al por menor,JEFA DE VENTAS,ORGANIZAR Y DIRIGIR EL TRABAJO DE  LOS VENDEDORES,4771,"venta al por menor de prendas de vestir, calzado y artículos de cuero en almacenes especializados",VENTA DE ROPA Y ACCESORIOS POR MENOR EN LOCAL,3.0,empleado,6.0,empresa o patrono privado,jefa de ventas,organizar y dirigir el trabajo de los vendedores,venta de ropa y accesorios por menor en local,jefa de ventas organizar y dirigir el trabajo de los vendedores venta de ropa y accesorios por menor en local,"jefa de ventas organizar y dirigir el trabajo de los vendedores venta de ropa y accesorios por menor en local , edad: 50 años , educación: superior no universitaria completa , desempeño: empleado",196.0,5221,5222,0.37715957
2022,020297,176,11,02,2,mujer,39,6.0,secundaria completa,,,5212,vendedores minoristas en tiendas y establecimientos (excepto kioscos y mercados),VENDEDORA DE MOTOCICLETA MOTOTAXI,VENDER OFRECER HACER TRAMITES,4540,"venta, mantenimiento y reparación de motocicletas y sus partes y repuestos",VENTA DE MOTOTAXI Y MOTOCICLETA EN TIENDA AL POR MAYOR EN TIENDA,3.0,empleado,6.0,empresa o patrono privado,vendedora de motocicleta mototaxi,vender ofrecer hacer trámites,venta de mototaxi y motocicleta en tienda al por mayor en tienda,vendedora de motocicleta mototaxi vender ofrecer hacer trámites venta de mototaxi y motocicleta en tienda al por mayor en tienda,"vendedora de motocicleta mototaxi vender ofrecer hacer trámites venta de mototaxi y motocicleta en tienda al por mayor en tienda , edad: 39 años , educación: secundaria completa , desempeño: empleado",193.0,5211,5212,0.9902507
2023,019733,033,11,02,1,hombre,29,10.0,superior universitaria completa,511026.0,ingeniería de sistemas,2512,especialistas programadores,INGENIERO DE SISTEMAS,DESARROLLAR SISTEMAS OPERATIVOS CON PROGRAMAS QUE GARANTICEN EFICIENCI,6419,otros tipos de intermediación monetaria,ENTIDAD FINANCIERA PRIVADA,3.0,empleado,6.0,empresa o patrono privado,ingeniero de sistemas,desarrollar sistemas operativos con programas que garanticen eficiencia,entidad financiera privada,ingeniero de sistemas desarrollar sistemas operativos con programas que garanticen eficiencia entidad financiera privada,"ingeniero de sistemas desarrollar sistemas operativos con programas que garanticen eficiencia entidad financiera privada , edad: 29 años , educación: superior universitaria completa , desempeño: empleado",74.0,2511,2512,0.9505773
2022,016709,144,11,01,1,hombre,30,10.0,superior universitaria completa,531016.0,ingeniería civil,3314,técnicos en administración,ADMINISTRADOR,REPORTAR VENTAS DIARIAS DE INGRESO Y EGRESO,4630,"venta al por mayor de alimentos, bebidas y tabaco",VENTA DE ABARROTE CERVEZA GOLOSINA POR MAYOR Y MENOR EN LOCAL,3.0,empleado,6.0,empresa o patrono privado,administrador,reportar ventas diarias de ingreso y egreso,venta de abarrote cerveza golosina por mayor y menor en local,administrador reportar ventas diarias de ingreso y egreso venta de abarrote cerveza golosina por mayor y menor en local,"administrador reportar ventas diarias de ingreso y egreso venta de abarrote cerveza golosina por mayor y menor en local , edad: 30 años , educación: superior universitaria completa , desempeño: empleado",129.0,2421,3314,0.49980524
2023,020194,064,11,03,2,mujer,24,10.0,superior universitaria completa,342056.0,contabilidad,3124,"supervisores de abastecimiento, distribución y afines",MONITORA DE PERSONAL,MONITOREAR A PERSONAL,6419,otros tipos de intermediación monetaria,ENTIDAD FINANCIERA,3.0,empleado,6.0,empresa o patrono privado,monitor de personal,monitorear a personal,entidad financiera,monitor de personal monitorear a personal entidad financiera,"monitor de personal monitorear a personal entidad financiera , edad: 24 años , educación: superior universitaria completa , desempeño: empleado",100.0,4110,3124,0.86254376
2023,017715,050,11,02,2,mujer,37,10.0,superior universitaria completa,351016.0,derecho,4229,otros empleados de servicios de información al cliente,TELEOPERADORA,REALIZAR LLAMADAS A CLIENTES VENDER PRODUCTOS TELEFONICAS,6120,actividades de telecomunicaciones inalámbricas,SERVICIO DE LINEAS MOVILES PAQUETES DE TV E INTERNET,3.0,empleado,6.0,empresa o patrono privado,teleoperadora,realizar llamadas a clientes vender productos telefónicas,servicio de líneas móviles paquetes de tv e internet,teleoperadora realizar llamadas a clientes vender productos telefónicas servicio de líneas móviles paquetes de tv e internet,"teleoperadora realizar llamadas a clientes vender productos telefónicas servicio de líneas móviles paquetes de tv e internet , edad: 37 años , educación: superior universitaria completa , desempeño: empleado",171.0,4222,4229,0.98138154
2023,018398,067,11,01,2,mujer,71,7.0,superior no universitaria incompleta,714035.0,enfermeria tecnica,9535,"vendedor ambulante de telas, tejidos y confecciones de tela y/o cuero",VENDEDORA DE ROPA,VENDER COBRAR OFRECER,4799,"otros tipos de venta al por menor no realizada en almacenes, puestos de venta o mercados",VENTA DE ROPA EN ALGODÓN DE ADULTOS  A TRAVES DE REDES SOCIALES DE FO,3.0,empleado,6.0,empresa o patrono privado,vendedora de ropa,vender cobrar ofrecer,venta de ropa en algodón de adultos a través de redes sociales de fo,vendedora de ropa vender cobrar ofrecer venta de ropa en algodón de adultos a través de redes sociales de fo,"vendedora de ropa vender cobrar ofrecer venta de ropa en algodón de adultos a través de redes sociales de fo , edad: 71 años , educación: superior no universitaria incompleta , desempeño: empleado",343.0,5243,9535,0.9853018
2020,010088,032,11,01,1,hombre,37,9.0,superior universitaria incompleta,,,7421,reparadores de equipos electrónicos y afines,TECNICO DE MANTENIMIENTO,MANTENER EQUIPOS LAVADORAS SECADORAS ATENDER APOYAR A TURISTAS,5510,actividades de alojamiento de corto plazo,HOTEL,4.0,obrero,6.0,empresa o patrono privado,tecnico de mantenimiento,mantener equipos lavadoras secadoras atender apoyar a turistas,hotel,tecnico de mantenimiento mantener equipos lavadoras secadoras atender apoyar a turistas hotel,"tecnico de mantenimiento mantener equipos lavadoras secadoras atender apoyar a turistas hotel , edad: 37 años , educación: superior universitaria incompleta , desempeño: obrero",272.0,9112,7421,0.8801242
2021,018371,101,11,01,1,hombre,45,10.0,superior universitaria completa,331016.0,administración,2421,analistas de gestión y organización,ADMINISTRADOR,REGISTRAR ADMINISTRAR CONTROLAR,5510,actividades de alojamiento de corto plazo,SERVICIO DE ALOJAMIENTO EN HOSPEDAJE GIMNASIO,1.0,empleador o patrono,,<NA>,administrador,registrar administrar controlar,servicio de alojamiento en hospedaje gimnasio,administrador registrar administrar controlar servicio de alojamiento en hospedaje gimnasio,"administrador registrar administrar controlar servicio de alojamiento en hospedaje gimnasio , edad: 45 años , educación: superior universitaria completa , desempeño: empleador o patrono",69.0,3314,2421,0.78712666
2023,016730,040,11,03,1,hombre,28,9.0,superior universitaria incompleta,611056.0,conservacion de suelos y agua,3112,técnicos en ingeniería civil,ELABORADOR DE PLANOS DE EDIFICACIONES EN SU VIVIENDA,DISEÑAR PLANOS,7110,actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico,ELABORACION DE PLANOS DE EDIFICACIONES EN SU VIVIENDA,2.0,trabajador independiente,,<NA>,elaborador de planos de edificaciones en su vivienda,diseñar planos,elaboracion de planos de edificaciones en su vivienda,elaborador de planos de edificaciones en su vivienda diseñar planos elaboracion de planos de edificaciones en su vivienda,"elaborador de planos de edificaciones en su vivienda diseñar planos elaboracion de planos de edificaciones en su vivienda , edad: 28 años , educación: superior universitaria incompleta , desempeño: trabajador independiente",90.0,3118,3112,0.93692434
2023,016381,101,11,01,1,hombre,35,10.0,superior universitaria completa,331016.0,administración,2421,analistas de gestión y organización,ADMINISTRADOR DEL PERSOANL,CALIFICAR ENTREVISTAR A LAS PETSONAS LOS TRABAJOS DE PERSONAL,8010,actividades de seguridad privada,SERVICIO DE SEGURIDAD DE  DE CONDOMIONS,3.0,empleado,6.0,empresa o patrono privado,administrador del persoanl,calificar entrevistar a las petsonas los trabajos de personal,servicio de seguridad de de condomions,administrador del persoanl calificar entrevistar a las petsonas los trabajos de personal servicio de seguridad de de condomions,"administrador del persoanl calificar entrevistar a las petsonas los trabajos de personal servicio de seguridad de de condomions , edad: 35 años , educación: superior universitaria completa , desempeño: empleado",69.0,3314,2421,0.9146707
2023,016623,018,11,03,2,mujer,15,5.0,secundaria incompleta,,,9629,otras ocupaciones elementales,AYUDANTE PREPARADORA DE BEBIDA ALCOHOLICA,EXPRIMIR LIMON PARTIR PELAR PIÑA,1101,"destilación, rectificación y mezcla de bebidas alcohólicas",PREPARACION VENTA DE BEBIDA ALCOHOLICA,5.0,trabajador familiar no remunerado,,<NA>,ayudante preparadora de bebida alcoholica,exprimir limón partir pelar piña,preparación venta de bebida alcoholica,ayudante preparadora de bebida alcoholica exprimir limón partir pelar piña preparación venta de bebida alcoholica,"ayudante preparadora de bebida alcoholica exprimir limón partir pelar piña preparación venta de bebida alcoholica , edad: 15 años , educación: secundaria incompleta , desempeño: trabajador familiar no remunerado",356.0,7518,9629,0.8893185
